EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.039,-0.332,2.581,0.432,4.066,0.830,-2.499,-3.685,0.031,0.990,-0.247,0.031,0.946,-0.092,100.000,63513.000,1.000
2.545,-1.698,2.346,2.165,5.005,-4.899,-2.484,-5.628,0.030,0.985,-0.249,0.000,0.977,0.031,100.000,63514.000,1.000
2.714,-1.830,3.287,4.715,6.785,-8.769,-1.217,-6.431,0.030,0.983,-0.248,0.092,0.916,-0.092,100.000,63515.000,1.000
3.515,-0.838,5.074,7.660,8.851,-10.488,0.445,-5.893,0.030,0.982,-0.249,0.244,0.977,-0.092,100.000,63516.000,1.000
4.414,0.677,6.711,9.985,10.084,-10.638,1.410,-4.900,0.030,0.983,-0.252,0.153,1.038,-0.122,100.000,63517.000,1.000
4.752,2.048,7.165,10.798,9.589,-10.028,1.179,-4.376,0.029,0.984,-0.252,0.366,0.977,-0.092,100.000,63518.000,1.000
4.095,2.821,5.950,9.912,7.232,-9.189,-0.166,-4.429,0.030,0.987,-0.251,0.549,1.007,0.092,100.000,63519.000,1.000
2.332,2.709,3.185,7.699,3.541,-8.224,-2.254,-4.482,0.030,0.991,-0.251,0.580,0.977,0.000,100.000,63520.000,1.000
-0.421,1.549,-0.672,4.640,-0.666,-6.897,-4.373,-3.815,0.029,0.992,-0.249,0.519,0.946,0.153,100.000,63521.000,1.000
-3.923,-0.538,-5.039,1.112,-4.563,-4.890,-5.549,-2.012,0.030,0.990,-0.247,0.336,0.977,0.214,100.000,63522.000,1.000
-7.810,-3.075,-9.343,-2.634,-7.524,-2.116,-5.100,0.813,0.031,0.991,-0.249,0.366,1.099,0.122,100.000,63523.000,1.000
-11.601,-5.413,-13.086,-6.444,-9.290,1.170,-3.057,4.013,0.031,0.994,-0.250,0.366,1.038,0.275,100.000,63524.000,1.000
-14.800,-6.948,-15.861,-10.126,-9.941,4.515,-0.115,6.635,0.033,0.996,-0.248,0.397,1.099,0.244,100.000,63525.000,1.000
-17.031,-7.262,-17.372,-13.292,-9.684,7.443,2.745,7.926,0.032,0.998,-0.247,0.244,1.007,0.122,100.000,63526.000,1.000
-18.110,-6.289,-17.478,-15.397,-8.679,9.675,4.772,7.768,0.031,0.998,-0.245,0.031,1.038,0.031,100.000,63527.000,1.000
-18.087,-4.495,-16.303,-16.052,-7.118,11.186,5.705,6.546,0.029,0.996,-0.245,-0.122,0.977,0.061,100.000,63528.000,1.000
-17.299,-2.796,-14.353,-15.366,-5.459,11.792,5.532,4.644,0.028,0.996,-0.242,-0.214,1.038,-0.061,100.000,63529.000,1.000
-16.246,-2.046,-12.355,-13.870,-4.329,10.988,4.283,2.213,0.030,0.997,-0.243,-0.458,1.038,0.031,100.000,63530.000,1.000
-15.191,-2.480,-10.786,-12.041,-4.035,8.586,2.165,-0.730,0.029,0.997,-0.246,-0.488,0.946,-0.031,100.000,63531.000,1.000
