EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.521,0.623,0.639,2.297,4.130,0.855,3.637,3.640,0.037,0.993,-0.207,0.214,-0.061,0.092,100.000,41769.000,1.000
1.431,2.345,2.995,2.815,5.484,1.527,3.549,4.120,0.038,0.993,-0.209,0.275,0.092,0.092,100.000,41770.000,1.000
2.551,3.761,5.074,2.999,6.512,2.004,2.905,4.255,0.038,0.992,-0.208,0.275,0.061,0.153,100.000,41771.000,1.000
2.216,4.198,6.128,2.533,6.864,2.028,2.112,3.865,0.040,0.994,-0.209,0.305,0.031,0.031,100.000,41772.000,1.000
0.388,3.452,5.824,1.464,6.567,1.767,1.706,3.170,0.041,0.993,-0.212,0.397,0.153,-0.183,100.000,41773.000,1.000
-2.173,1.976,4.489,0.353,6.056,1.721,2.202,2.754,0.041,0.993,-0.210,0.336,0.183,-0.336,100.000,41774.000,1.000
-4.276,0.591,2.897,-0.089,5.845,2.381,3.756,3.048,0.040,0.995,-0.210,0.305,0.153,-0.336,100.000,41775.000,1.000
-5.036,-0.036,1.769,0.439,6.122,3.751,5.830,3.875,0.041,0.995,-0.207,0.336,0.244,-0.336,100.000,41776.000,1.000
-4.400,0.199,1.365,1.576,6.591,5.198,7.367,4.657,0.041,0.998,-0.208,0.336,0.275,-0.458,100.000,41777.000,1.000
-3.108,0.730,1.311,2.454,6.615,5.871,7.522,4.905,0.040,0.997,-0.207,0.366,0.366,-0.427,100.000,41778.000,1.000
-2.166,0.705,0.874,2.221,5.595,5.286,6.175,4.329,0.041,0.998,-0.209,0.397,0.366,-0.458,100.000,41779.000,1.000
-2.125,-0.294,-0.354,0.727,3.480,3.706,3.901,2.914,0.043,1.001,-0.211,0.336,0.580,-0.336,100.000,41780.000,1.000
-2.683,-1.816,-2.004,-1.249,1.001,2.073,1.730,1.248,0.042,1.002,-0.209,0.336,0.610,-0.366,100.000,41781.000,1.000
-3.010,-2.945,-3.283,-2.604,-0.803,1.287,0.606,0.296,0.039,1.001,-0.210,0.275,0.580,-0.183,100.000,41782.000,1.000
-2.567,-3.135,-3.703,-2.756,-1.387,1.408,0.738,0.443,0.038,1.002,-0.209,0.183,0.702,-0.153,100.000,41783.000,1.000
-1.528,-2.545,-3.325,-1.853,-0.950,1.766,1.525,1.131,0.037,1.002,-0.208,0.092,0.732,-0.031,100.000,41784.000,1.000
-0.536,-1.740,-2.553,-0.503,-0.135,1.679,2.124,1.551,0.037,1.002,-0.208,0.092,0.641,0.000,100.000,41785.000,1.000
-0.236,-1.293,-1.919,0.462,0.341,0.816,1.953,1.280,0.037,1.002,-0.208,-0.031,0.671,-0.061,100.000,41786.000,1.000
-0.883,-1.459,-1.852,0.319,0.006,-0.761,0.934,0.330,0.039,1.002,-0.208,-0.153,0.549,0.061,100.000,41787.000,1.000
-2.178,-2.005,-2.439,-1.129,-1.111,-2.498,-0.479,-1.131,0.036,1.001,-0.208,-0.336,0.488,0.122,100.000,41788.000,1.000
-3.469,-2.409,-3.433,-3.425,-2.536,-3.571,-1.630,-2.913,0.036,1.000,-0.207,-0.366,0.610,0.061,100.000,41789.000,1.000
-4.252,-2.361,-4.534,-5.785,-3.760,-3.586,-2.189,-4.686,0.036,1.000,-0.208,-0.427,0.519,0.031,100.000,41790.000,1.000
-4.516,-2.053,-5.642,-7.620,-4.644,-2.930,-2.338,-6.031,0.036,0.999,-0.206,-0.488,0.519,-0.061,100.000,41791.000,1.000
-4.651,-2.011,-6.833,-8.788,-5.424,-2.272,-2.441,-6.678,0.036,1.000,-0.206,-0.519,0.427,0.000,100.000,41792.000,1.000
-5.045,-2.615,-8.118,-9.440,-6.336,-1.921,-2.641,-6.643,0.036,1.000,-0.208,-0.641,0.427,0.031,100.000,41793.000,1.000
-5.743,-3.743,-9.276,-9.698,-7.265,-1.704,-2.748,-6.126,0.037,0.998,-0.207,-0.549,0.336,0.000,100.000,41794.000,1.000
-6.419,-4.847,-9.918,-9.477,-7.768,-1.225,-2.397,-5.279,0.038,1.000,-0.207,-0.641,0.336,-0.122,100.000,41795.000,1.000
-6.621,-5.346,-9.726,-8.606,-7.432,-0.298,-1.419,-4.132,0.040,0.998,-0.205,-0.793,0.336,-0.183,100.000,41796.000,1.000
-6.081,-4.930,-8.667,-7.078,-6.246,0.791,-0.140,-2.811,0.041,0.998,-0.207,-0.732,0.275,-0.092,100.000,41797.000,1.000
-4.920,-3.692,-7.083,-5.204,-4.662,1.482,0.805,-1.668,0.041,0.997,-0.207,-0.793,0.305,-0.305,100.000,41798.000,1.000
-3.713,-2.257,-5.681,-3.667,-3.425,1.276,0.934,-1.127,0.039,0.999,-0.205,-0.824,0.305,-0.366,100.000,41799.000,1.000
-3.168,-1.597,-5.213,-3.247,-3.199,-0.084,0.177,-1.421,0.039,0.996,-0.205,-0.793,0.214,-0.519,100.000,41800.000,1.000
-3.459,-2.212,-5.780,-4.121,-4.002,-2.293,-1.042,-2.386,0.039,0.996,-0.206,-0.793,0.183,-0.397,100.000,41801.000,1.000
-3.987,-3.548,-6.612,-5.592,-5.095,-4.369,-2.070,-3.532,0.038,0.994,-0.204,-0.671,0.214,-0.366,100.000,41802.000,1.000
-3.994,-4.532,-6.794,-6.736,-5.728,-5.431,-2.660,-4.468,0.039,0.995,-0.203,-0.610,0.214,-0.610,100.000,41803.000,1.000
-3.181,-4.442,-5.954,-7.027,-5.745,-5.520,-3.213,-5.076,0.038,0.994,-0.203,-0.641,0.183,-0.549,100.000,41804.000,1.000
-1.709,-3.147,-4.248,-6.341,-5.364,-5.328,-4.178,-5.239,0.038,0.995,-0.207,-0.427,0.214,-0.641,100.000,41805.000,1.000
0.027,-1.011,-2.163,-4.875,-4.802,-5.334,-5.420,-4.789,0.036,0.994,-0.206,-0.458,0.153,-0.641,100.000,41806.000,1.000
1.568,1.228,-0.309,-3.069,-4.184,-5.499,-6.273,-3.738,0.035,0.996,-0.207,-0.397,0.122,-0.763,100.000,41807.000,1.000
2.572,2.794,0.898,-1.330,-3.523,-5.585,-6.127,-2.240,0.036,0.996,-0.205,-0.275,0.000,-0.885,100.000,41808.000,1.000
2.879,3.285,1.381,0.051,-2.789,-5.481,-4.933,-0.512,0.034,0.996,-0.209,-0.244,-0.092,-0.854,100.000,41809.000,1.000
2.447,2.763,1.253,0.779,-2.092,-5.237,-3.240,1.056,0.034,0.994,-0.207,-0.153,-0.214,-0.916,100.000,41810.000,1.000
1.458,1.624,0.775,0.724,-1.616,-4.850,-1.652,1.993,0.035,0.995,-0.205,-0.122,-0.305,-0.824,100.000,41811.000,1.000
0.453,0.443,0.432,0.225,-1.318,-3.979,-0.221,2.119,0.033,0.995,-0.206,-0.031,-0.305,-0.793,100.000,41812.000,1.000
0.026,-0.271,0.688,-0.120,-0.931,-2.114,1.366,1.641,0.034,0.997,-0.206,-0.031,-0.427,-0.763,100.000,41813.000,1.000
0.385,-0.391,1.562,-0.025,-0.322,0.706,3.029,0.871,0.033,0.997,-0.208,-0.061,-0.519,-0.824,100.000,41814.000,1.000
1.327,-0.206,2.615,0.336,0.334,3.601,4.076,-0.008,0.034,0.999,-0.206,-0.061,-0.580,-0.793,100.000,41815.000,1.000
