EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4.476,0.932,0.482,2.141,0.091,-3.760,0.605,0.792,0.051,0.972,-0.283,-0.366,0.214,0.610,100.000,74073.000,1.000
3.627,0.771,0.493,1.647,-0.730,-4.507,-0.351,-0.161,0.048,0.974,-0.282,-0.183,0.244,0.671,100.000,74074.000,1.000
1.817,0.085,0.141,0.482,-2.213,-5.230,-1.960,-1.915,0.048,0.973,-0.281,-0.122,0.366,0.610,100.000,74075.000,1.000
-0.420,-0.678,-0.394,-0.986,-3.837,-5.576,-3.573,-3.884,0.046,0.973,-0.285,0.153,0.427,0.549,100.000,74076.000,1.000
-2.386,-1.083,-0.874,-2.259,-5.046,-5.321,-4.605,-5.346,0.047,0.973,-0.283,0.153,0.366,0.458,100.000,74077.000,1.000
-3.613,-0.985,-1.154,-2.965,-5.517,-4.540,-4.800,-5.819,0.047,0.973,-0.280,0.122,0.397,0.305,100.000,74078.000,1.000
-4.016,-0.475,-1.227,-3.040,-5.243,-3.525,-4.272,-5.287,0.047,0.977,-0.283,0.183,0.427,0.366,100.000,74079.000,1.000
-3.780,0.369,-1.107,-2.619,-4.386,-2.556,-3.368,-4.080,0.046,0.977,-0.284,0.275,0.458,0.305,100.000,74080.000,1.000
-3.224,1.509,-0.770,-1.871,-3.134,-1.719,-2.409,-2.646,0.047,0.977,-0.286,0.366,0.488,0.153,100.000,74081.000,1.000
-2.692,2.705,-0.299,-1.039,-1.751,-0.939,-1.579,-1.469,0.046,0.977,-0.282,0.427,0.519,0.153,100.000,74082.000,1.000
-2.402,3.511,0.064,-0.449,-0.581,-0.111,-0.957,-0.961,0.048,0.980,-0.286,0.488,0.397,-0.061,100.000,74083.000,1.000
-2.371,3.576,0.067,-0.352,0.090,0.730,-0.599,-1.260,0.047,0.981,-0.285,0.519,0.458,-0.061,100.000,74084.000,1.000
-2.557,2.788,-0.466,-0.822,0.077,1.267,-0.612,-2.170,0.046,0.983,-0.282,0.549,0.397,-0.092,100.000,74085.000,1.000
-3.001,1.219,-1.618,-1.793,-0.697,1.085,-1.093,-3.257,0.044,0.984,-0.286,0.488,0.305,-0.092,100.000,74086.000,1.000
-3.695,-0.797,-3.215,-3.040,-2.022,0.133,-1.894,-3.965,0.042,0.983,-0.285,0.458,0.275,-0.122,100.000,74087.000,1.000
-4.409,-2.590,-4.720,-4.149,-3.263,-1.078,-2.524,-3.793,0.043,0.978,-0.283,0.305,0.305,-0.092,100.000,74088.000,1.000
-4.846,-3.469,-5.517,-4.715,-3.680,-1.811,-2.444,-2.612,0.042,0.978,-0.283,0.153,0.244,-0.092,100.000,74089.000,1.000
-4.910,-3.202,-5.354,-4.631,-2.984,-1.626,-1.537,-0.850,0.043,0.976,-0.282,0.305,0.061,-0.122,100.000,74090.000,1.000
